,0
topped,61
call,61
holds,61
shelf,61
characteristics,61
smoked,61
pie,61
exceptional,61
session,61
modest,61
excited,61
impression,61
pithy,60
thickness,60
recommended,60
stays,60
share,60
tones,60
generous,60
read,60
residual,60
sitting,60
hopped,60
lemony,60
yes,59
added,59
tannins,59
follow,59
port,59
spot,59
check,59
based,59
leave,59
late,59
impressed,59
stand,59
cantillon,58
zero,58
inviting,58
smokey,58
guava,58
chalice,58
finishing,58
leads,58
zesty,58
2014,58
particularly,58
qualities,57
marshmallow,57
nuttiness,57
cut,57
farmhouse,57
pears,57
24,57
2013,57
usual,57
rising,57
layers,57
shared,57
tea,57
loved,57
kick,57
motor,56
list,56
spiced,56
prickly,56
appreciate,56
fuller,56
fair,56
strength,56
underlying,56
dominate,56
beyond,55
revisit,55
drinker,55
sugars,55
warmed,55
form,55
persistent,55
detect,55
apparent,55
tad,55
highest,55
ones,55
decadent,55
toward,55
face,54
went,54
cacao,54
prune,54
dirty,54
beautifully,54
leans,54
blanket,54
score,54
lactose,54
kinda,54
powerful,53
reminiscent,53
king,53
underneath,53
okay,53
bring,53
candi,53
tannic,53
legs,53
brandy,53
restrained,53
overripe,52
intensity,52
later,52
bouquet,52
vibrant,52
tight,52
smelling,52
quad,52
teku,52
rings,52
crackery,52
already,52
month,52
aspect,51
likely,51
continues,51
fast,51
hand,51
clearly,51
describe,51
fl,51
stands,51
weak,51
fun,51
lactic,51
dominant,51
harsh,51
chance,51
four,51
unfortunately,51
chimay,51
passionfruit,51
center,51
gently,51
rate,51
corn,50
covering,50
seek,50
nuts,50
hill,50
liquor,50
coats,50
99,50
brownish,50
seemed,50
champagne,50
weeks,50
capped,50
oxidation,50
yeah,50
obviously,50
opening,50
cork,49
started,49
oatmeal,49
chestnut,49
considering,49
keeps,49
food,49
brews,49
dough,49
minor,49
strawberry,49
blended,49
aromatic,48
eventually,48
delightful,48
dogfish,48
375ml,48
stavanger,48
lacking,48
hues,48
bomber,48
notch,48
soaked,48
26,48
thicker,48
except,48
satisfying,48
thinner,48
offers,48
favorites,48
anyone,48
leading,48
30,48
turns,48
cheese,48
received,47
bittering,47
06,47
live,47
appropriate,47
goblet,47
330ml,47
become,47
everyone,47
puckering,47
founders,47
filling,47
sherry,47
surprise,47
additional,47
cheap,47
ends,47
offerings,47
lush,47
delivers,47
lead,47
whiff,47
swirl,47
purchase,46
shine,46
heavily,46
indeed,46
chocolatey,46
milky,46
variety,46
butter,46
sides,46
28,46
week,46
beans,46
brought,46
soy,46
bud,46
phenomenal,46
imagine,46
09,46
01,46
27,46
stamped,46
active,46
2011,46
crust,46
31,46
scotch,45
horse,45
crazy,45
enjoying,45
sauce,45
job,45
recently,45
330,45
dominated,45
lagunitas,45
someone,45
rim,45
hold,45
none,45
lost,45
felt,45
among,45
begins,45
guinness,45
basically,45
definite,45
surprising,45
dusty,45
sized,45
minute,45
dankness,45
hefeweizen,45
change,45
heavier,45
cardinal,45
warmer,45
nonic,45
consistent,45
totally,45
total,44
ibu,44
packs,44
us,44
03,44
med,44
possibly,44
sampled,44
means,44
river,44
scents,44
anise,44
hoppiness,44
holding,44
fully,44
bakers,44
adding,44
citra,44
vague,44
chili,43
reputation,43
creaminess,43
dominates,43
longer,43
triple,43
hell,43
08,43
description,43
odd,43
hefty,43
resiny,43
metallic,43
alcoholic,43
substantial,43
brief,43
weird,43
richness,43
lack,42
froth,42
doubt,42
shop,42
normal,42
pleasure,42
taking,42
styles,42
brewers,42
expectations,42
gueuze,42
balances,42
500ml,42
jam,42
00,42
stick,42
pastry,42
gone,42
friends,41
area,41
mug,41
content,41
baked,41
lives,41
island,41
ish,41
covered,41
including,41
hides,41
missing,41
29,41
filled,41
hearty,41
fresher,41
nitro,41
funkiness,41
older,41
transparent,40
choice,40
season,40
blind,40
bone,40
weight,40
atop,40
disappointing,40
falls,40
levels,40
adjunct,40
mine,40
chilled,40
dose,40
whatever,40
st,40
40,39
passion,39
thank,39
sometimes,39
june,39
refined,39
helps,39
provides,39
dinner,39
fat,39
advertised,39
sit,39
holiday,39
july,39
closer,39
dangerously,39
etc,39
play,39
bigger,39
limited,39
phenolic,39
dissipating,38
purple,38
yummy,38
raw,38
ginger,38
help,38
guy,38
02,38
jammy,38
balancing,38
viscosity,38
hefe,38
astringency,38
carries,38
pair,38
04,38
run,38
reduces,38
throat,38
duvel,38
blackberry,38
rotation,37
gum,37
peppers,37
dont,37
ice,37
trip,37
per,37
bif,37
set,37
baking,37
recent,37
caged,37
fruited,37
b,37
understand,37
paired,37
cannot,37
ethanol,37
size,37
element,37
main,37
leaning,37
buds,37
sierra,37
savory,37
adjuncts,37
significant,37
heady,36
355,36
aspects,36
apricots,36
ratings,36
sits,36
og,36
east,36
touches,36
hoping,36
serving,36
miss,36
vibe,36
disappointed,36
porters,36
consistency,36
saw,36
delight,36
layered,36
created,36
laces,36
outside,36
tripels,36
2012,36
remarkably,35
england,35
07,35
cm,35
lemons,35
sam,35
tinge,35
retains,35
effect,35
foggy,35
via,35
julius,35
sudsy,35
certain,35
worthy,35
range,35
assertive,35
macro,35
tend,35
hands,35
bb,35
comparison,35
nevada,35
250,35
boy,34
batter,34
regardless,34
wanting,34
market,34
kriek,34
slightest,34
nature,34
beneath,34
375,34
noted,34
category,34
bba,34
floating,34
trade,34
chill,34
notable,34
citric,34
wise,34
medicinal,34
ne,33
brownie,33
territory,33
liquorice,33
mean,33
lagers,33
heard,33
muddy,33
features,33
smith,33
expression,33
90,33
estery,33
shines,33
deserves,33
500,33
trappist,33
phenols,33
anyway,33
soda,33
strongly,33
mexican,33
listed,33
farmstead,33
pumpernickel,32
detectable,32
box,32
aside,32
breweries,32
mf,32
literally,32
money,32
terms,32
complete,32
edition,32
disappears,32
yarchives,32
luscious,32
particular,32
spiegelau,32
alongside,32
rough,32
dull,32
deal,32
compare,32
tingly,32
extreme,32
poor,32
possible,32
trace,32
notice,32
cup,32
unlike,32
deeply,32
adams,31
imo,31
mainly,31
spring,31
anywhere,31
changed,31
disappoint,31
airy,31
showing,31
smoothness,31
cask,31
produced,31
april,31
builds,31
samuel,31
provide,31
biting,31
pass,31
mint,31
im,31
lends,31
smokiness,31
nonetheless,31
sweetish,31
order,31
difficult,31
amounts,31
waves,31
budweiser,31
winner,31
buttery,31
sample,31
beginning,31
mandarin,31
influence,31
number,31
2oz,31
5oz,31
peanut,31
tang,31
flowers,31
tinged,31
nuanced,30
smelled,30
la,30
entire,30
stop,30
bringing,30
wave,30
fizz,30
sours,30
reviewing,30
fading,30
apart,30
future,30
expensive,30
co,30
acid,30
holy,30
abbey,30
variant,30
points,30
almond,30
nectarine,30
yields,30
earlier,30
rose,30
evident,30
word,30
buying,30
leafy,30
minerality,30
create,30
mouthful,30
finished,30
difference,30
shit,30
multiple,30
previous,29
variants,29
power,29
forming,29
awhile,29
factor,29
dubbel,29
roastiness,29
representation,29
turn,29
wax,29
perfection,29
yielded,29
idea,29
normally,29
tint,29
ideal,29
crackers,29
cereal,29
evening,29
wonder,29
hopping,29
weather,29
serious,29
unusual,29
generally,29
worse,29
breakfast,29
lcbo,29
leathery,29
sessionable,29
inside,29
th,29
putting,28
suggest,28
sampling,28
walls,28
loose,28
pa,28
hazed,28
gave,28
decently,28
ten,28
natural,28
lite,28
drier,28
sensation,28
unibroue,28
orchard,28
flowery,28
chardonnay,28
party,28
umami,28
orangey,28
bunch,28
test,28
hardly,28
wide,28
ingredients,28
knock,28
n,28
blends,28
draught,28
blueberry,28
thru,28
allspice,28
bits,28
crown,28
quenching,28
hf,28
garnet,28
55,28
shot,28
lips,28
walnut,28
pleasing,28
develops,27
closely,27
mellowed,27
alone,27
whisky,27
known,27
resins,27
treehouse,27
honest,27
moon,27
cellared,27
cracked,27
remarkable,27
gonna,27
cantaloupe,27
care,27
apa,27
marked,27
needs,27
presents,27
malted,27
lucky,27
following,27
semisweet,27
boring,27
heft,27
contrast,27
star,27
wife,27
signature,27
butterscotch,27
shade,27
bell,27
subtly,27
bock,27
unfiltered,27
forth,27
support,27
firestone,27
coors,27
reminded,26
necessarily,26
neck,26
sparkling,26
freshness,26
elegant,26
speak,26
fermentation,26
overbearing,26
fame,26
bubbled,26
fills,26
fire,26
equally,26
decided,26
tingle,26
tier,26
produces,26
product,26
acetic,26
matches,26
seeking,26
sheets,26
mixes,26
called,26
enticing,26
persists,26
root,26
pliny,26
lacks,26
nectar,26
suggests,26
stale,26
explosion,26
appealing,26
belgians,25
currants,25
attractive,25
turbid,25
quarter,25
60,25
personally,25
stage,25
moment,25
needles,25
august,25
please,25
released,25
current,25
attention,25
bursting,25
supporting,25
trillium,25
pudding,25
looked,25
settling,25
becoming,25
finding,25
inches,25
reveals,25
stemmed,25
focus,25
integrated,25
parts,25
combo,25
taken,25
terrific,25
missed,25
floaters,25
wheaty,25
milder,25
par,25
family,25
skunky,25
herbs,25
tingling,25
game,24
hoped,24
anticipated,24
lets,24
standing,24
vintages,24
guessing,24
midnight,24
ending,24
young,24
obvious,24
providing,24
drunk,24
popular,24
sign,24
suit,24
topper,24
stellar,24
twist,24
fermented,24
consider,24
expressive,24
inky,24
recipe,24
begin,24
basic,24
alright,24
grab,24
smoother,24
spots,24
thirst,24
result,24
supposed,24
freshly,24
waiting,24
experienced,24
growler,24
lingered,24
became,24
curtain,24
generic,24
baker,24
component,24
steady,24
overwhelm,24
described,24
prevalent,24
blast,24
pucker,24
superior,24
beverage,24
settled,24
nuance,24
damp,24
amazingly,24
words,24
saying,24
noticed,23
darn,23
coloration,23
flanders,23
sat,23
mark,23
backed,23
bronze,23
guys,23
step,23
stored,23
spectacular,23
blown,23
mass,23
ester,23
combined,23
occasion,23
benchmark,23
stickiness,23
doppelbock,23
third,23
fill,23
country,23
campfire,23
pay,23
allowing,23
nowhere,23
sap,23
characters,23
allowed,23
stay,23
accents,23
eggshell,23
miller,23
stuck,23
decade,23
blonde,23
clinging,23
flower,23
baby,23
e,23
exquisite,23
modern,23
creates,23
honeydew,23
cost,23
receding,23
personal,23
agree,23
state,23
oddly,23
running,23
prairie,23
born,23
pace,23
grit,22
march,22
tequila,22
nibs,22
company,22
tonight,22
write,22
brewer,22
rochefort,22
undated,22
plays,22
runs,22
emerge,22
allows,22
january,22
burst,22
undertone,22
knew,22
legendary,22
liking,22
rustic,22
beauty,22
laced,22
larger,22
rusty,22
mineral,22
spruce,22
rises,22
strange,22
remaining,22
aforementioned,22
ways,22
fancy,22
woodsy,22
c,22
actual,22
2007,22
sets,22
lambics,22
dominating,22
lean,22
turned,22
hours,22
november,22
22oz,22
dangerous,22
post,22
nuances,22
detected,22
packaging,22
lemongrass,22
oxidized,22
islands,22
working,22
potent,22
pinkish,22
immediate,22
yum,22
weizen,22
artificial,22
ground,22
nbs,22
cigar,22
appear,22
needed,22
sue,22
cover,22
freshest,22
accompanied,22
mosaic,22
source,22
softer,22
peat,22
juiciness,22
build,22
somewhere,22
peppercorn,22
hitting,22
glowing,22
oat,21
equal,21
fade,21
develop,21
degree,21
easier,21
nut,21
welcome,21
perfume,21
knows,21
cognac,21
essence,21
skins,21
plastic,21
worst,21
burgundy,21
stream,21
code,21
luxurious,21
paper,21
breadiness,21
overrated,21
finest,21
presentation,21
streams,21
grounds,21
hangs,21
picture,21
unless,21
cookie,21
brilliant,21
proper,21
nelson,21
forever,21
deeper,21
iipa,21
entirely,21
kiss,21
neither,21
offer,21
five,21
art,21
north,21
pils,21
crushable,21
seeing,21
packed,21
fingered,21
unsweetened,21
visit,21
unpleasant,21
sparse,21
morning,21
gift,21
intensely,21
meaty,21
fragrant,21
major,21
everywhere,20
meal,20
considered,20
gooseberry,20
opportunity,20
con,20
producing,20
hate,20
changes,20
rimming,20
god,20
tone,20
treacle,20
receded,20
wee,20
san,20
mentioned,20
familiar,20
dries,20
vegetal,20
cookies,20
lacy,20
scores,20
onto,20
collapses,20
california,20
monster,20
clings,20
weissbier,20
meh,20
younger,20
evolves,20
characteristic,20
floyds,20
mellows,20
kept,20
hide,20
burned,20
memory,20
disappeared,20
healthy,20
faintly,20
paid,20
vibes,20
softly,20
band,20
tuesday,20
lending,20
nail,20
chunky,20
canning,20
45,20
series,20
bland,20
essentially,20
oct,20
density,20
entry,20
drops,20
cascade,20
whatsoever,20
display,20
swirling,20
besides,20
air,20
aromatics,20
sound,20
raul,19
offset,19
fit,19
hyped,19
textures,19
appropriately,19
common,19
twang,19
careful,19
savoury,19
minus,19
bacon,19
seconds,19
book,19
awful,19
greets,19
halo,19
seasonal,19
approachable,19
lend,19
rolls,19
quads,19
approaching,19
largely,19
building,19
soap,19
rock,19
recall,19
victory,19
2010,19
blowing,19
uk,19
oa,19
grand,19
hanging,19
spectrum,19
tremendous,19
featuring,19
caramely,19
option,19
french,19
shy,19
weihenstephaner,19
states,19
terrible,19
grabbed,19
move,19
currently,19
hopefully,19
thinking,19
coupled,19
matter,19
compliment,19
brettanomyces,19
abundant,19
flesh,19
pops,19
stock,19
road,19
dec,19
irish,19
sixer,19
colorado,19
transparency,19
walker,19
department,19
pulled,19
insanely,19
distinctive,19
currant,19
suppose,19
ages,19
wash,19
fits,19
history,19
mixture,19
fonteinen,19
fruitcake,18
distant,18
drop,18
glarus,18
seriously,18
save,18
ashy,18
brisk,18
gotten,18
backing,18
grows,18
rare,18
chicago,18
approach,18
offered,18
80,18
salty,18
spirit,18
priced,18
ibus,18
afternoon,18
citrussy,18
british,18
crack,18
harmony,18
rapidly,18
wants,18
carry,18
biggest,18
told,18
ass,18
production,18
bernardus,18
options,18
september,18
dissolves,18
likes,18
watered,18
suspect,18
unexpected,18
marks,18
european,18
bill,18
pushing,18
keeping,18
overpower,18
3f,18
dig,18
manages,18
straightforward,18
thread,18
prior,18
thankfully,18
remained,18
strawberries,18
rush,18
dust,18
staying,18
folks,18
thoroughly,18
floaties,18
developed,18
length,18
fuzzy,18
readily,18
peak,18
october,18
feature,18
overtones,18
hour,18
city,18
realize,18
college,18
respect,18
led,18
remind,18
tannin,18
magnificent,18
tick,17
creme,17
velvet,17
esque,17
whether,17
tastebuds,17
feet,17
mixing,17
ultimately,17
latter,17
barleywines,17
lemonade,17
2nd,17
curious,17
nougat,17
meet,17
standards,17
consume,17
deserving,17
match,17
grassiness,17
driven,17
finely,17
preference,17
harshness,17
break,17
gem,17
authentic,17
lover,17
borderline,17
palette,17
happens,17
whale,17
graham,17
defined,17
saisons,17
softness,17
update,17
continue,17
formed,17
tawny,17
offensive,17
notably,17
mood,17
wisconsin,17
reasonably,17
sweetened,17
vanillin,17
typically,17
lol,17
ash,17
en,17
desert,17
geuze,17
brownies,17
forefront,17
process,17
richer,17
smaller,17
creamsicle,17
lazy,17
noble,17
backend,17
chocolaty,17
versions,17
onion,17
lord,17
width,17
ranked,17
coat,17
sea,17
reading,17
memorable,17
wispy,17
scattered,17
consistently,17
picks,16
data,16
blending,16
dimension,16
44,16
foundation,16
oils,16
talking,16
buried,16
random,16
february,16
g,16
watering,16
vinegary,16
mountain,16
met,16
widely,16
ultra,16
48,16
closes,16
hey,16
orangish,16
underwhelming,16
canada,16
showcases,16
cough,16
conditioned,16
wcipa,16
constant,16
unknown,16
sharing,16
locally,16
packaged,16
consciousness,16
stem,16
orval,16
texas,16
distracting,16
components,16
bbq,16
park,16
pinch,16
roll,16
primarily,16
tip,16
row,16
site,16
darkness,16
occasional,16
additions,16
giant,16
regret,16
heaven,16
examples,16
instantly,16
sounds,16
bordering,16
penetration,16
jump,16
ridiculous,16
discernible,16
spent,16
feb,16
maintains,16
disappointment,16
liter,16
lychee,16
buddy,16
46,16
fluid,16
smoothly,16
shell,16
burnished,16
pull,16
exceptionally,16
eyes,16
december,16
coarse,16
meant,16
abrasive,16
balsamic,16
avoid,16
weed,16
core,16
pipe,16
reserve,16
moves,16
mess,16
happened,16
fault,16
key,15
vaguely,15
london,15
carrying,15
cedar,15
ordered,15
hear,15
dies,15
ddh,15
du,15
doesnt,15
board,15
jan,15
aventinus,15
transitions,15
killer,15
combines,15
greatest,15
mega,15
unbalanced,15
elder,15
superbly,15
sub,15
sheet,15
justice,15
sunny,15
sucks,15
garde,15
shaker,15
smidge,15
skunk,15
dropped,15
barn,15
stemless,15
er,15
sold,15
beast,15
tame,15
overdone,15
sports,15
bat,15
muddled,15
tough,15
dc,15
emerges,15
free,15
chunks,15
quaffable,15
suggestion,15
reasonable,15
heart,15
package,15
distinctly,15
salt,15
melding,15
mature,15
ive,15
apparently,15
stunning,15
suspended,15
yesterday,15
sent,15
preferred,15
term,15
sublime,15
backdrop,15
likewise,15
waited,15
lovers,15
kiwi,15
favourite,15
biscuits,15
westmalle,15
recommendation,15
produce,15
rear,15
central,15
mistake,15
popping,15
stupid,15
plain,15
pecan,15
combine,15
choose,15
grade,15
prime,15
popped,15
creating,15
array,15
specifically,15
issue,15
swear,15
assume,15
rounds,15
america,15
vigorous,15
zing,15
chilies,15
foods,15
figured,15
stomach,15
streaks,15
anymore,15
darkest,15
galore,15
untappd,14
deserved,14
virtually,14
various,14
prost,14
masterpiece,14
webby,14
ontario,14
colder,14
eisbock,14
promised,14
noir,14
tumbler,14
question,14
lasted,14
dancing,14
complement,14
gingerbread,14
milkshake,14
fusel,14
blackish,14
glorious,14
quiet,14
dance,14
95,14
billowing,14
ommegang,14
sourdough,14
accessible,14
cardboard,14
cooler,14
weizenbock,14
sunshine,14
properly,14
fans,14
2023,14
brother,14
secondary,14
quintessential,14
selection,14
advocate,14
problem,14
twelve,14
organic,14
alot,14
garden,14
meets,14
tangerines,14
swirled,14
moist,14
ruddy,14
deliver,14
moving,14
rauchbier,14
sturdy,14
rice,14
stores,14
impressively,14
cranberry,14
hiding,14
logic,14
pilsners,14
undercurrent,14
bcbs,14
wit,14
mediocre,14
yellowish,14
mm,14
thrown,14
idk,14
masked,14
suggestions,14
fortunate,14
enjoyment,14
alchemist,14
neipas,14
heads,14
tempered,14
washes,14
diego,14
epic,14
brand,14
thins,14
serve,14
unripe,14
washed,14
nosing,14
peachy,14
loving,14
stable,14
underripe,14
42,14
neutral,14
aug,14
pillow,14
starting,14
blood,14
happily,14
results,14
cant,14
almonds,14
measure,14
rise,14
remain,14
